17 Again,Netflix,No,Yes
21 Jump Street,Youtube,No,No
22 Jump Street,Youtube,No,No
Alien,Hulu,Yes,No
Assassin's Creed,Youtube,No,No
Back to the Future,Netflix,No,Yes
Back to the Future Part II,Netfllix,No,Yes
Back to the Future Part III,Netflix,No,Yes
Beethoven,Amazon,No,Yes
Blazing Saddles,Paramount+,No,No
Corpse Bride,Youtube,No,Yes
Deadpool,Max,Yes,Yes
The Evil Dead,AMC+,No,Yes
Godzilla King of the Monsters,Max,No,No
Grease,Paramount+,No,No
Hitchhiker's Guide to the Galaxy,Amazon,Yes,No
Igor,Tubi,No,Yes
Lilo and Stitch,Disney+,Yes,Yes
Madagascar,Amazon,Yes,No
Madagascar: Escape 2 Africa,Amazon,Yes,No
Madagascar 3: Europe's Most Wanted,Amazon,Yes,No
Masters of Disguise,Tubi,Yes,No
Moana,Disney+,No,Yes
Naked Gun,Max,No,No
Naked Gun 2,Max,No,No
Naked Gun 3,Max,No,No
Napoleon Dynamite,Hulu,No,Yes
Narnia,Disney+,No,No
Night Swim,Peacock,No,No
Oppenheimer,Amazon,Yes,No
Paranormal Activity 1,Max,No,Yes
Paranormal Activity 2,Max,No,Yes
Paranormal Activity 3,Max,No,Yes
Paranormal Activity 4,Max,No,Yes
Paranormal Activity 5: The Marked Ones,Max,No,Yes
Paranormal Activity 6: The Ghost Dimension,Paramount+,No,Yes
Paranormal Activity 7: Next of Kin,Paramount+,No,Yes
Poltergeist,Youtube,No,No
Quarantine,Hulu,No,No
Rock Horror Picture Show,Amazon,No,No
Scarface,Amazon,No,No
Silence of the Lambs,Amazon,Yes,No
Space Jam,Amazon,No,No
Space Jam: A New Legacy,Max,No,No
Suicide Squad,Max,No,No
The Adventures of Sharkboy and Lavagirl,Amazon,No,No
The Exorcist,Amazon,No,No
The Godfather,Paramount+,Yes,No
The Godfather Part II,Paramount+,Yes,No
The Godfather Part III,Paramount+,Yes,No
The Mighty Ducks,Disney+,No,Yes
The Mighty Ducks 2,Disney+,No,Yes
The Mighty Ducks 3,Disney+,No,No
The Muppets' Wizard of Oz,Fandango at Home,No,No
The Suicide Squad,Max,No,No
The Visit,Max,No,Yes
The Vvitch,Max,No,No
Wizard of Oz,Max,No,Yes
Aliens,Hulu,Yes,No
Despicable Me 4,Youtube,No,Yes
Tarzan,Disney+,No,Yes
Baby Driver,Netflix,No,Yes
The Cloverfield Paradox,Netflix,No,Yes
Life,Netflix,No,Yes
Clickbait (TV Show),Netflix,No,Yes
The Midnight Club (TV Show),Netflix,No,Yes
End of the F****** World (TV Show),Netflix,No,Yes
A Million Ways to Die in the West,Netflix,No,Yes
The Nun II,Max,No,Yes
Twister,Max,No,Yes
The Emoji Movie,Netflix,No,Yes
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Disney+,No,Yes
Role Models,Max,No,Yes
Digimon Adventure: Last Evolution Kizuna,DailyMotion,No,Yes
The Devil Wears Prada,Max,No,Yes
One Piece Film: Red,Physical,No,Yes
Neon Genesis Evangelion (TV Show),Netflix,No,Yes
The End of Evangelion,Netflix,No,Yes
Evangelion 1.11 You Are (Not) Alone,Amazon,Yes,Yes
Evangelion 2.22 You Can (Not) Advance,Amazon,Yes,Yes
Scott Pilgrim Takes Off,Netflix,Yes,Yes
Delicious in Dungeon (TV Show),Netflix,Yes,Yes
